mean_f_lambda,n_data,noise_f_lambda,unc_f_lambda,wavelength
0.0,0.0,0.0,0.0,500.0
0.0,0.0,0.0,0.0,504.0
0.0,0.0,0.0,0.0,508.0
0.0,0.0,0.0,0.0,512.0
0.0,0.0,0.0,0.0,516.0
0.0,0.0,0.0,0.0,520.0
0.0,0.0,0.0,0.0,524.0
0.0,0.0,0.0,0.0,528.0
0.0,0.0,0.0,0.0,532.0
0.0,0.0,0.0,0.0,536.0
0.0,0.0,0.0,0.0,540.0
0.0,0.0,0.0,0.0,544.0
0.0,0.0,0.0,0.0,548.0
0.0,0.0,0.0,0.0,552.0
0.0,0.0,0.0,0.0,556.0
0.0,0.0,0.0,0.0,560.0
0.0,0.0,0.0,0.0,564.0
0.0,0.0,0.0,0.0,568.0
0.0,0.0,0.0,0.0,572.0
0.0,0.0,0.0,0.0,576.0
0.0,0.0,0.0,0.0,580.0
0.0,0.0,0.0,0.0,584.0
0.0,0.0,0.0,0.0,588.0
0.0,0.0,0.0,0.0,592.0
0.0,0.0,0.0,0.0,596.0
0.0,0.0,0.0,0.0,600.0
0.0,0.0,0.0,0.0,604.0
0.0,0.0,0.0,0.0,608.0
0.0,0.0,0.0,0.0,612.0
0.0,0.0,0.0,0.0,616.0
0.0,0.0,0.0,0.0,620.0
0.0,0.0,0.0,0.0,624.0
0.0,0.0,0.0,0.0,628.0
0.0,0.0,0.0,0.0,632.0
0.0,0.0,0.0,0.0,636.0
0.0,0.0,0.0,0.0,640.0
0.0,0.0,0.0,0.0,644.0
0.0,0.0,0.0,0.0,648.0
0.0,0.0,0.0,0.0,652.0
0.0,0.0,0.0,0.0,656.0
0.0,0.0,0.0,0.0,660.0
0.0,0.0,0.0,0.0,664.0
0.0,0.0,0.0,0.0,668.0
0.0,0.0,0.0,0.0,672.0
0.0,0.0,0.0,0.0,676.0
0.0,0.0,0.0,0.0,680.0
0.0,0.0,0.0,0.0,684.0
0.0,0.0,0.0,0.0,688.0
0.0,0.0,0.0,0.0,692.0
0.0,0.0,0.0,0.0,696.0
0.0,0.0,0.0,0.0,700.0
0.0,0.0,0.0,0.0,704.0
0.0,0.0,0.0,0.0,708.0
0.0,0.0,0.0,0.0,712.0
0.0,0.0,0.0,0.0,716.0
0.0,0.0,0.0,0.0,720.0
0.0,0.0,0.0,0.0,724.0
0.0,0.0,0.0,0.0,728.0
0.0,0.0,0.0,0.0,732.0
0.0,0.0,0.0,0.0,736.0
0.0,0.0,0.0,0.0,740.0
0.0,0.0,0.0,0.0,744.0
0.0,0.0,0.0,0.0,748.0
-0.11716669327334354,19.0,0.6136280332259488,1.1029746132243279,752.0
0.5079291822469753,23.0,0.5522339942459746,0.7166414856823785,756.0
0.5736900997226653,23.0,0.47977489313745936,0.47602339415002526,760.0
